Sales =
| sale_id | product_id | year | quantity | price |
| 161     | 53         | 2054 | 69       | 1463  |
| 162     | 46         | 1938 | 44       | 669   |
| 163     | 53         | 1874 | 66       | 8904  |
| 164     | 25         | 1866 | 30       | 3817  |
| 165     | 71         | 1821 | 27       | 3600  |
| 166     | 45         | 1912 | 48       | 2401  |
| 167     | 15         | 1880 | 79       | 5290  |
| 168     | 35         | 1890 | 79       | 8823  |
| 169     | 76         | 2163 | 6        | 7233  |
| 170     | 23         | 1956 | 41       | 8480  |
| 171     | 34         | 1994 | 99       | 8505  |
| 172     | 70         | 2112 | 18       | 4420  |
| 173     | 4          | 1855 | 64       | 8545  |
| 174     | 31         | 2060 | 80       | 9374  |
| 175     | 16         | 1845 | 45       | 9300  |
| 176     | 23         | 1999 | 60       | 669   |
| 177     | 26         | 2067 | 76       | 8026  |
| 178     | 60         | 2189 | 23       | 5146  |
| 179     | 29         | 2180 | 9        | 3408  |
| 180     | 19         | 1942 | 91       | 5940  |
| 181     | 40         | 1919 | 70       | 5772  |
| 182     | 18         | 1980 | 58       | 204   |
| 183     | 47         | 2017 | 14       | 1979  |
| 184     | 18         | 1839 | 24       | 2459  |
| 185     | 57         | 2012 | 3        | 5164  |
| 186     | 68         | 1958 | 64       | 2228  |
| 187     | 16         | 1877 | 67       | 2798  |
| 188     | 69         | 1837 | 57       | 1691  |
| 189     | 28         | 1815 | 53       | 9464  |
| 190     | 5          | 1971 | 13       | 2085  |
| 191     | 41         | 2030 | 90       | 6842  |
| 192     | 41         | 1889 | 43       | 9788  |
| 193     | 50         | 1926 | 33       | 9333  |
| 194     | 11         | 1966 | 72       | 9673  |
| 195     | 4          | 1881 | 6        | 2162  |
| 196     | 23         | 2192 | 30       | 6702  |
| 197     | 16         | 2152 | 34       | 3622  |
| 198     | 1          | 2014 | 46       | 2615  |
| 199     | 25         | 1964 | 7        | 5074  |
| 200     | 13         | 2154 | 71       | 7281  |
| 201     | 13         | 2047 | 10       | 768   |
| 202     | 75         | 1964 | 28       | 8718  |
| 203     | 29         | 1823 | 2        | 7797  |
| 204     | 9          | 2069 | 88       | 4984  |
| 205     | 62         | 2149 | 81       | 3361  |
| 206     | 54         | 1894 | 56       | 7699  |
| 207     | 75         | 2136 | 26       | 6982  |
| 208     | 39         | 2100 | 53       | 4262  |
| 209     | 58         | 1922 | 96       | 4261  |
| 210     | 48         | 2089 | 71       | 4880  |
| 211     | 16         | 1931 | 2        | 6903  |
| 212     | 26         | 2044 | 4        | 1922  |
| 213     | 22         | 1922 | 23       | 7068  |
| 214     | 9          | 2174 | 66       | 1718  |
| 215     | 59         | 2066 | 44       | 3044  |
| 216     | 73         | 1919 | 85       | 1618  |
| 217     | 15         | 2111 | 53       | 2250  |
| 218     | 5          | 2042 | 64       | 4044  |
| 219     | 70         | 1889 | 17       | 7036  |
| 220     | 35         | 1940 | 75       | 8177  |
| 221     | 41         | 1938 | 14       | 5085  |
| 222     | 22         | 2072 | 53       | 9477  |
| 223     | 44         | 2119 | 33       | 6713  |
| 224     | 76         | 1822 | 8        | 7611  |
| 225     | 5          | 1893 | 26       | 7426  |
| 226     | 37         | 2148 | 69       | 6173  |
| 227     | 57         | 1965 | 22       | 6996  |
| 228     | 77         | 1895 | 39       | 1670  |
| 229     | 17         | 2138 | 37       | 5722  |
| 230     | 58         | 2033 | 6        | 4019  |
| 231     | 46         | 1867 | 75       | 1133  |
| 232     | 21         | 1841 | 39       | 3646  |
| 233     | 49         | 1811 | 12       | 9082  |
| 234     | 35         | 2136 | 45       | 4888  |
| 235     | 75         | 2004 | 3        | 2848  |
| 236     | 29         | 1940 | 53       | 937   |
| 237     | 7          | 2103 | 32       | 8358  |
| 238     | 35         | 1833 | 5        | 9880  |
| 239     | 7          | 1972 | 67       | 9059  |
| 240     | 69         | 2120 | 86       | 442   |
| 241     | 44         | 2122 | 54       | 931   |
| 242     | 63         | 1879 | 52       | 8137  |
| 243     | 10         | 1983 | 100      | 6741  |
| 244     | 58         | 1905 | 78       | 480   |
| 245     | 12         | 2034 | 14       | 2714  |
| 246     | 72         | 1941 | 63       | 1604  |
| 247     | 38         | 1839 | 42       | 970   |
| 248     | 76         | 2027 | 10       | 9648  |
| 249     | 52         | 1809 | 24       | 8586  |
| 250     | 74         | 2137 | 8        | 8795  |
| 251     | 5          | 1962 | 36       | 2763  |
| 252     | 6          | 2129 | 68       | 1075  |
| 253     | 20         | 2057 | 32       | 4824  |
| 254     | 42         | 2079 | 91       | 8549  |
| 255     | 45         | 2146 | 32       | 3222  |
| 256     | 10         | 2193 | 7        | 4791  |
| 257     | 52         | 2070 | 6        | 4702  |
| 258     | 32         | 1809 | 55       | 7468  |
| 259     | 71         | 2188 | 83       | 3914  |
| 260     | 46         | 2113 | 53       | 2736  |
| 261     | 33         | 1904 | 76       | 7914  |
| 262     | 7          | 2056 | 48       | 5308  |
| 263     | 41         | 2162 | 97       | 9125  |
| 264     | 24         | 1818 | 50       | 4504  |
| 265     | 5          | 1833 | 62       | 3482  |
| 266     | 58         | 1811 | 65       | 6644  |
| 267     | 76         | 2017 | 76       | 7202  |
| 268     | 7          | 1953 | 58       | 2344  |
| 269     | 47         | 1871 | 84       | 8667  |
| 270     | 62         | 2083 | 79       | 8629  |
| 271     | 26         | 1962 | 100      | 9906  |
| 272     | 47         | 1915 | 36       | 3495  |
| 273     | 39         | 2008 | 97       | 3494  |
| 274     | 63         | 1944 | 7        | 7888  |
| 275     | 7          | 2155 | 49       | 8208  |
| 276     | 34         | 1987 | 15       | 8628  |
| 277     | 67         | 1991 | 68       | 4144  |
| 278     | 6          | 1909 | 27       | 724   |
| 279     | 4          | 1930 | 60       | 1292  |
| 280     | 43         | 2128 | 87       | 7836  |
| 281     | 75         | 2180 | 66       | 2125  |
| 282     | 5          | 2153 | 86       | 5504  |
| 283     | 12         | 1918 | 57       | 3973  |
| 284     | 47         | 1903 | 66       | 1576  |
| 285     | 31         | 1942 | 74       | 5406  |
| 286     | 21         | 2000 | 93       | 9834  |
| 287     | 50         | 2077 | 57       | 1158  |
| 288     | 58         | 1984 | 87       | 4194  |
| 289     | 51         | 2184 | 65       | 6411  |
| 290     | 14         | 2155 | 53       | 8123  |
| 291     | 45         | 1956 | 71       | 5137  |
| 292     | 74         | 2012 | 62       | 4207  |
| 293     | 18         | 2154 | 100      | 5045  |
| 294     | 43         | 1965 | 53       | 8600  |
| 295     | 38         | 2008 | 99       | 4920  |
| 296     | 67         | 1972 | 71       | 2598  |
| 297     | 3          | 2039 | 39       | 7746  |
| 298     | 29         | 1846 | 11       | 2426  |
| 299     | 26         | 1838 | 37       | 7131  |
| 300     | 50         | 1957 | 24       | 8823  |
| 301     | 19         | 1961 | 15       | 6669  |
| 302     | 66         | 2190 | 83       | 4716  |
| 303     | 51         | 2114 | 88       | 4247  |
| 304     | 66         | 2135 | 60       | 3075  |
| 305     | 22         | 2167 | 63       | 7627  |
| 306     | 19         | 1885 | 75       | 7407  |
| 307     | 55         | 1834 | 9        | 5607  |
| 308     | 51         | 2114 | 61       | 955   |
| 309     | 37         | 1911 | 53       | 1437  |
| 310     | 63         | 2022 | 35       | 3811  |
| 311     | 51         | 1903 | 85       | 515   |
| 312     | 62         | 2044 | 16       | 2859  |
| 313     | 60         | 1831 | 28       | 5313  |
| 314     | 55         | 1839 | 71       | 6981  |
| 315     | 70         | 2169 | 17       | 9012  |
| 316     | 8          | 2111 | 52       | 6047  |
| 317     | 24         | 2187 | 53       | 7374  |
| 318     | 21         | 1906 | 72       | 9842  |
| 319     | 32         | 1986 | 19       | 2110  |
| 320     | 40         | 2140 | 58       | 470   |
| 321     | 44         | 1844 | 49       | 2156  |
| 322     | 16         | 1833 | 18       | 5104  |
| 323     | 74         | 1990 | 75       | 6187  |
| 324     | 4          | 2116 | 1        | 7188  |
| 325     | 38         | 1838 | 29       | 4674  |
| 326     | 45         | 1891 | 78       | 2562  |
| 327     | 27         | 1887 | 35       | 9141  |
| 328     | 72         | 1837 | 98       | 2288  |
| 329     | 6          | 2077 | 91       | 6886  |
| 330     | 71         | 1843 | 66       | 4303  |
| 331     | 67         | 2141 | 53       | 2908  |
| 332     | 62         | 2075 | 14       | 1520  |
| 333     | 25         | 2162 | 44       | 5474  |
| 334     | 1          | 2041 | 81       | 4295  |
| 335     | 71         | 1814 | 17       | 1314  |
| 336     | 65         | 2118 | 28       | 9808  |
| 337     | 59         | 2121 | 9        | 9468  |
| 338     | 12         | 1816 | 53       | 4480  |
| 339     | 4          | 1937 | 41       | 5027  |
| 340     | 22         | 1951 | 31       | 636   |
| 341     | 69         | 2163 | 89       | 8102  |
| 342     | 67         | 2164 | 25       | 1012  |
| 343     | 13         | 1886 | 10       | 6113  |
| 344     | 57         | 1977 | 59       | 3922  |
| 345     | 30         | 1814 | 68       | 9243  |
| 346     | 55         | 1932 | 67       | 475   |
| 347     | 55         | 1906 | 10       | 9162  |
| 348     | 48         | 1933 | 32       | 8481  |
| 349     | 48         | 1817 | 70       | 4125  |
| 350     | 8          | 2164 | 56       | 8956  |
| 351     | 3          | 2143 | 7        | 4505  |
| 352     | 45         | 1847 | 39       | 3842  |
| 353     | 14         | 2186 | 77       | 1632  |
| 354     | 49         | 2026 | 77       | 7456  |
| 355     | 18         | 1891 | 18       | 1633  |
| 356     | 33         | 1970 | 11       | 7531  |
| 357     | 48         | 2058 | 10       | 1397  |
| 358     | 67         | 1992 | 81       | 3806  |
| 359     | 46         | 2102 | 86       | 7702  |
| 360     | 17         | 2066 | 24       | 2029  |
| 361     | 65         | 2141 | 43       | 3288  |
| 362     | 41         | 1909 | 91       | 5482  |
| 363     | 5          | 1869 | 5        | 5612  |
| 364     | 64         | 2200 | 33       | 4001  |
| 365     | 50         | 2037 | 51       | 8385  |
| 366     | 16         | 2108 | 66       | 7807  |
| 367     | 27         | 2043 | 44       | 9151  |
| 368     | 61         | 2179 | 35       | 9202  |
| 369     | 24         | 2141 | 60       | 3688  |
| 370     | 16         | 2003 | 82       | 3801  |
| 371     | 68         | 1899 | 64       | 6251  |
| 372     | 28         | 1968 | 2        | 4197  |
| 373     | 60         | 2028 | 33       | 2016  |
| 374     | 48         | 2057 | 89       | 819   |
| 375     | 23         | 2137 | 75       | 3599  |
| 376     | 68         | 1887 | 34       | 2844  |
| 377     | 25         | 2141 | 87       | 2369  |
| 378     | 41         | 1810 | 6        | 8258  |
| 379     | 48         | 1983 | 60       | 4765  |
| 380     | 6          | 1834 | 93       | 2849  |
| 381     | 11         | 1951 | 51       | 5806  |
| 382     | 61         | 1891 | 57       | 7245  |
| 383     | 33         | 1958 | 84       | 5378  |
| 384     | 54         | 1965 | 79       | 9576  |
| 385     | 45         | 2016 | 5        | 6700  |
| 386     | 7          | 1903 | 6        | 1083  |
| 387     | 25         | 2041 | 40       | 3970  |
| 388     | 60         | 1820 | 82       | 6775  |
| 389     | 42         | 2070 | 99       | 7804  |
| 390     | 27         | 2048 | 17       | 5497  |
| 391     | 48         | 2196 | 63       | 5936  |
| 392     | 59         | 2113 | 69       | 5345  |
| 393     | 72         | 1913 | 20       | 5920  |
| 394     | 77         | 1899 | 51       | 732   |
| 395     | 75         | 2109 | 97       | 1730  |
| 396     | 45         | 2026 | 75       | 2481  |
| 397     | 28         | 1931 | 34       | 9751  |
| 398     | 48         | 2166 | 23       | 7930  |
| 399     | 47         | 2095 | 34       | 3957  |
| 400     | 40         | 2088 | 36       | 4020  |
| 401     | 73         | 1971 | 8        | 4751  |
| 402     | 30         | 1912 | 43       | 6338  |
| 403     | 54         | 2004 | 51       | 3375  |
| 404     | 33         | 2004 | 9        | 3185  |
| 405     | 71         | 1958 | 60       | 6310  |
| 406     | 24         | 2137 | 83       | 2208  |
| 407     | 20         | 2060 | 95       | 9482  |
| 408     | 66         | 2190 | 76       | 4403  |
| 409     | 8          | 1974 | 28       | 8037  |
| 410     | 19         | 1836 | 20       | 5216  |
| 411     | 53         | 1879 | 40       | 3816  |
| 412     | 13         | 1817 | 48       | 7886  |
| 413     | 61         | 1928 | 58       | 8257  |
| 414     | 28         | 2040 | 70       | 6920  |
| 415     | 44         | 1974 | 11       | 2547  |
| 416     | 58         | 1898 | 54       | 4968  |
| 417     | 49         | 1824 | 24       | 1284  |
| 418     | 24         | 1900 | 56       | 9336  |
| 419     | 16         | 2067 | 46       | 5347  |
| 420     | 3          | 1914 | 35       | 3931  |
| 421     | 12         | 2081 | 96       | 2784  |
| 422     | 39         | 2199 | 75       | 4903  |
| 423     | 58         | 2013 | 75       | 4678  |
| 424     | 26         | 1858 | 60       | 3661  |
| 425     | 1          | 1897 | 29       | 3267  |
| 426     | 60         | 1898 | 37       | 6739  |
| 427     | 67         | 2071 | 83       | 9485  |
| 428     | 74         | 1938 | 61       | 5846  |
| 429     | 50         | 2163 | 14       | 4864  |
| 430     | 12         | 2024 | 21       | 9603  |
| 431     | 32         | 1959 | 16       | 3103  |
| 432     | 7          | 1852 | 49       | 2030  |
| 433     | 28         | 2143 | 9        | 9559  |
| 434     | 58         | 2054 | 53       | 7128  |
| 435     | 68         | 2064 | 99       | 4645  |
| 436     | 47         | 2145 | 13       | 250   |
| 437     | 3          | 1997 | 61       | 3994  |
| 438     | 53         | 2093 | 42       | 2025  |
| 439     | 67         | 2166 | 7        | 8899  |
| 440     | 45         | 2091 | 2        | 5494  |
| 441     | 17         | 2193 | 49       | 6699  |
| 442     | 31         | 1966 | 97       | 2257  |
| 443     | 74         | 2169 | 30       | 9051  |
| 444     | 42         | 2153 | 55       | 1690  |
| 445     | 60         | 2057 | 98       | 6076  |
| 446     | 30         | 1868 | 99       | 6382  |
| 447     | 10         | 1853 | 46       | 842   |
| 448     | 55         | 1931 | 100      | 1343  |
| 449     | 67         | 2172 | 10       | 7341  |
| 450     | 57         | 1840 | 71       | 9956  |
| 451     | 53         | 2084 | 31       | 6367  |
| 452     | 16         | 2011 | 3        | 1430  |
| 453     | 22         | 1893 | 3        | 981   |
| 454     | 68         | 1884 | 88       | 5979  |
| 455     | 74         | 1849 | 99       | 6380  |
| 456     | 24         | 1813 | 36       | 3084  |
| 457     | 76         | 1843 | 61       | 9373  |
| 458     | 41         | 2172 | 98       | 2790  |
| 459     | 34         | 2175 | 28       | 2934  |
| 460     | 3          | 2167 | 34       | 8453  |
| 461     | 21         | 1955 | 22       | 2752  |
| 462     | 25         | 1956 | 42       | 8588  |
| 463     | 9          | 1896 | 30       | 3645  |
| 464     | 46         | 2130 | 59       | 460   |
| 465     | 12         | 2019 | 1        | 5370  |
| 466     | 10         | 2192 | 23       | 1387  |
| 467     | 15         | 2103 | 67       | 2242  |
| 468     | 25         | 2039 | 42       | 9620  |
| 469     | 74         | 2064 | 21       | 5554  |
| 470     | 27         | 1823 | 62       | 5416  |
| 471     | 50         | 1825 | 49       | 8984  |
| 472     | 59         | 2017 | 57       | 5384  |
| 473     | 37         | 1992 | 57       | 5664  |
| 474     | 63         | 1883 | 55       | 806   |
| 475     | 2          | 1970 | 94       | 6800  |
| 476     | 29         | 2022 | 72       | 5340  |
| 477     | 37         | 1916 | 42       | 716   |
| 478     | 25         | 2108 | 30       | 6588  |
| 479     | 32         | 2057 | 74       | 7763  |
| 480     | 69         | 1833 | 2        | 3214  |
| 481     | 75         | 1938 | 92       | 1128  |
| 482     | 49         | 2076 | 35       | 4078  |
| 483     | 7          | 2156 | 62       | 7242  |
| 484     | 39         | 2158 | 1        | 3760  |
| 485     | 51         | 2143 | 6        | 9435  |
| 486     | 16         | 1885 | 22       | 5246  |
| 487     | 45         | 2063 | 31       | 8537  |
| 488     | 70         | 2055 | 92       | 7833  |
| 489     | 33         | 1874 | 54       | 256   |
| 490     | 28         | 1916 | 55       | 9556  |
| 491     | 55         | 2026 | 87       | 918   |
| 492     | 69         | 1851 | 25       | 2829  |
| 493     | 27         | 1803 | 12       | 6303  |
| 494     | 11         | 1874 | 4        | 4578  |
| 495     | 24         | 1931 | 53       | 4597  |
| 496     | 61         | 2188 | 45       | 6860  |
| 497     | 18         | 1946 | 96       | 5538  |
| 498     | 7          | 2122 | 15       | 3167  |
| 499     | 24         | 1909 | 39       | 6252  |
| 500     | 6          | 1949 | 16       | 9713  |
| 501     | 66         | 2195 | 16       | 4467  |
| 502     | 12         | 2190 | 43       | 2659  |
| 503     | 21         | 2074 | 21       | 8456  |
| 504     | 14         | 1808 | 52       | 3253  |
| 505     | 55         | 2184 | 5        | 8260  |
| 506     | 58         | 1908 | 85       | 5823  |
| 507     | 55         | 2158 | 41       | 5095  |
| 508     | 27         | 1904 | 76       | 4069  |
| 509     | 38         | 2042 | 42       | 223   |
| 510     | 51         | 1915 | 66       | 4986  |
| 511     | 21         | 1978 | 63       | 6738  |
| 512     | 13         | 1847 | 96       | 1758  |
| 513     | 6          | 2067 | 52       | 8081  |
| 514     | 67         | 1823 | 51       | 2362  |
| 515     | 44         | 1914 | 36       | 1504  |
| 516     | 45         | 1951 | 34       | 4539  |
| 517     | 10         | 1869 | 79       | 1843  |
| 518     | 3          | 1933 | 6        | 3370  |
| 519     | 15         | 2189 | 79       | 1441  |
| 520     | 71         | 1954 | 74       | 1857  |
| 521     | 7          | 2040 | 11       | 3821  |
| 522     | 21         | 1971 | 23       | 5304  |
| 523     | 73         | 2072 | 78       | 6733  |
| 524     | 67         | 2147 | 16       | 343   |
| 525     | 45         | 1980 | 5        | 7206  |
| 526     | 26         | 1986 | 78       | 4186  |
| 527     | 21         | 2012 | 6        | 3869  |
| 528     | 8          | 1869 | 90       | 6068  |
| 529     | 15         | 2020 | 27       | 2493  |
| 530     | 48         | 2069 | 60       | 3314  |
| 531     | 45         | 1837 | 78       | 1902  |
| 532     | 64         | 2105 | 86       | 5964  |
| 533     | 37         | 2080 | 12       | 5386  |
| 534     | 20         | 2040 | 25       | 2953  |
| 535     | 30         | 1877 | 76       | 4230  |
| 536     | 18         | 1881 | 20       | 9387  |
| 537     | 50         | 1955 | 5        | 9108  |
| 538     | 35         | 2017 | 67       | 2651  |
| 539     | 24         | 2199 | 23       | 2467  |
| 540     | 69         | 2049 | 37       | 8277  |
| 541     | 27         | 1980 | 10       | 290   |
| 542     | 55         | 1874 | 8        | 8941  |
| 543     | 12         | 1871 | 1        | 1381  |
| 544     | 57         | 2174 | 73       | 4641  |
| 545     | 22         | 2052 | 34       | 9268  |
| 546     | 16         | 1940 | 30       | 4401  |
| 547     | 75         | 1987 | 97       | 770   |
| 548     | 28         | 1888 | 66       | 497   |
| 549     | 72         | 1835 | 23       | 7284  |
| 550     | 34         | 1985 | 67       | 7120  |
| 551     | 28         | 1809 | 45       | 2847  |
| 552     | 29         | 1856 | 78       | 3415  |
| 553     | 57         | 1839 | 77       | 6014  |
| 554     | 13         | 2136 | 85       | 3707  |
| 555     | 66         | 1967 | 10       | 249   |
| 556     | 57         | 1833 | 74       | 7112  |
| 557     | 17         | 2150 | 97       | 110   |
| 558     | 63         | 1882 | 32       | 8932  |
| 559     | 5          | 2060 | 19       | 8826  |
| 560     | 73         | 1899 | 9        | 1819  |
| 561     | 51         | 1971 | 39       | 6201  |
| 562     | 6          | 2181 | 97       | 2562  |
| 563     | 39         | 2060 | 6        | 5136  |
| 564     | 37         | 1923 | 93       | 4678  |
| 565     | 34         | 2172 | 40       | 6023  |
| 566     | 32         | 1923 | 77       | 3844  |
| 567     | 57         | 1897 | 94       | 4204  |
| 568     | 73         | 1928 | 57       | 9164  |
| 569     | 27         | 1922 | 19       | 2681  |
| 570     | 19         | 2048 | 86       | 592   |
| 571     | 32         | 2180 | 73       | 2266  |
| 572     | 21         | 1879 | 100      | 9863  |
| 573     | 52         | 1954 | 20       | 4885  |
| 574     | 24         | 2015 | 18       | 648   |
| 575     | 47         | 2029 | 53       | 6844  |
| 576     | 69         | 1997 | 19       | 8890  |
| 577     | 37         | 1863 | 16       | 8999  |
| 578     | 56         | 1900 | 20       | 4386  |
| 579     | 49         | 2172 | 40       | 7714  |
| 580     | 48         | 1958 | 94       | 8103  |
| 581     | 1          | 1967 | 74       | 8000  |
| 582     | 68         | 1833 | 40       | 4394  |
